Data;Mese;Descrizione;Importo Entrata;Importo Uscita;Categoria;Conto
17/03/2025;Marzo;bla bla car;12,00 €;;Viaggi e Trasporti;ING - CC
18/03/2025;Marzo;pizze;;18,31 €;Bar e Ristoranti;Buddybank
18/03/2025;Marzo;birrette;;3,18 €;Bar e Ristoranti;Buddybank
18/03/2025;Marzo;pizze e birrette rimborso pa;25,00 €;;Bar e Ristoranti;Cash
18/03/2025;Marzo;icloud;;0,99 €;Casa e Utenze;ING - CC
19/03/2025;Marzo;caffè;;2,40 €;Bar e Ristoranti;Satispay
20/03/2025;Marzo;bla bla car;12,00 €;;Viaggi e Trasporti;Satispay
20/03/2025;Marzo;bar;;2,40 €;Bar e Ristoranti;Satispay
20/03/2025;Marzo;regalo compleanno;400,00 €;;Altre Entrate;Cash
21/03/2025;Marzo;versamento;;425,00 €;Trasferimenti;Cash
21/03/2025;Marzo;versamento;425,00 €;;Trasferimenti;Buddybank
21/03/2025;Marzo;pranzo;;14,20 €;Bar e Ristoranti;Buddybank
21/03/2025;Marzo;trasferimento;;239,55 €;Trasferimenti;Buddybank
21/03/2025;Marzo;trasferimento;239,55 €;;Trasferimenti;Revolut
21/03/2025;Marzo;gondoni;;9,90 €;Salute;Buddybank
21/03/2025;Marzo;parcheggio;;2,00 €;Viaggi e Trasporti;ING - CC
22/03/2025;Marzo;caffè succo;;5,00 €;Bar e Ristoranti;Satispay
22/03/2025;Marzo;hotel londra;;488,63 €;Svago e Intrattenimento;Revolut
22/03/2025;Marzo;boots;;1,92 €;Spesa;Revolut
22/03/2025;Marzo;uniqlo;;40,59 €;Shopping;Revolut
22/03/2025;Marzo;deliveroo;;16,72 €;Bar e Ristoranti;Revolut
22/03/2025;Marzo;tfl;;3,47 €;Viaggi e Trasporti;ING - CC
23/03/2025;Marzo;tfl;;10,37 €;Viaggi e Trasporti;Revolut
23/03/2025;Marzo;tfl;;3,38 €;Viaggi e Trasporti;Revolut
23/03/2025;Marzo;sticker e acqua;;3,49 €;Shopping;Revolut
23/03/2025;Marzo;cena brewmaster;;52,12 €;Bar e Ristoranti;Revolut
24/03/2025;Marzo;tfl;;10,73 €;Viaggi e Trasporti;Revolut
24/03/2025;Marzo;costa coffee;;5,81 €;Bar e Ristoranti;Revolut
24/03/2025;Marzo;bici;;3,48 €;Viaggi e Trasporti;Revolut
24/03/2025;Marzo;regalo mamma;;23,32 €;Shopping;Revolut
24/03/2025;Marzo;tesco;;1,52 €;Spesa;Revolut
24/03/2025;Marzo;commissioni;;4,19 €;Altro;Buddybank
24/03/2025;Marzo;bla bla car;12,00 €;;Viaggi e Trasporti;Paypal
25/03/2025;Marzo;tfl;;10,37 €;Viaggi e Trasporti;Revolut
25/03/2025;Marzo;costa coffee;;17,66 €;Bar e Ristoranti;Revolut
25/03/2025;Marzo;regalo papà;;29,14 €;Shopping;Revolut
25/03/2025;Marzo;fish and chips;;39,50 €;Bar e Ristoranti;Revolut
25/03/2025;Marzo;cafe nero;;18,43 €;Bar e Ristoranti;Revolut
25/03/2025;Marzo;lime;;14,06 €;Viaggi e Trasporti;Buddybank
26/03/2025;Marzo;metro;;2,20 €;Viaggi e Trasporti;Revolut
26/03/2025;Marzo;pac extra;300,00 €;;Trasferimenti;Investimenti
26/03/2025;Marzo;rata airpods;;35,99 €;Shopping;ING - CC
26/03/2025;Marzo;pranzo;;2,00 €;Bar e Ristoranti;ING - CC
26/03/2025;Marzo;pac extra;;300,00 €;Trasferimenti;ING - CC
26/03/2025;Marzo;pranzo;;8,00 €;Bar e Ristoranti;Buoni Pasto
27/03/2025;Marzo;pranzo;;16,00 €;Bar e Ristoranti;Buoni Pasto
27/03/2025;Marzo;trasferimento chiusura conto;;183,67 €;Trasferimenti;Allianz
27/03/2025;Marzo;trasferimento chiusura conto;183,67 €;;Trasferimenti;ING - CC
27/03/2025;Marzo;pranzo;;2,00 €;Bar e Ristoranti;ING - CC
27/03/2025;Marzo;benzina;;50,39 €;Viaggi e Trasporti;ING - CC
28/03/2025;Marzo;bar;;3,70 €;Bar e Ristoranti;Satispay
28/03/2025;Marzo;bla bla car;23,00 €;;Viaggi e Trasporti;Paypal
28/03/2025;Marzo;prelievo;40,00 €;;Trasferimenti;Cash
28/03/2025;Marzo;garage;;28,00 €;Auto e Moto;Cash
28/03/2025;Marzo;prelievo;;40,00 €;Trasferimenti;Buddybank
28/03/2025;Marzo;google one;;2,99 €;Casa e Utenze;Paypal
29/03/2025;Marzo;frappe;;3,00 €;Bar e Ristoranti;Satispay
29/03/2025;Marzo;spritz;;7,00 €;Bar e Ristoranti;Cash
30/03/2025;Marzo;bla bla car;;12,39 €;Viaggi e Trasporti;ING - CC
30/03/2025;Marzo;frappe;;3,00 €;Bar e Ristoranti;Satispay
31/03/2025;Marzo;stipendio;1.792,00 €;;Stipendio;ING - CC
31/03/2025;Marzo;trasferimento;;400,00 €;Trasferimenti;ING - CC
31/03/2025;Marzo;trasferimento;2.000,00 €;;Trasferimenti;ING - CC
31/03/2025;Marzo;trasferimento;;2.000,00 €;Trasferimenti;ING - CD
31/03/2025;Marzo;caffè;;2,40 €;Bar e Ristoranti;Satispay
31/03/2025;Marzo;macelleria;;10,95 €;Spesa;Satispay
31/03/2025;Marzo;trasferimento;400,00 €;;Trasferimenti;Revolut
31/03/2025;Marzo;commissioni;;0,12 €;Altro;Buddybank
31/03/2025;Marzo;openai;;6,80 €;Casa e Utenze;Buddybank
01/04/2025;Aprile;cena workshop;;21,50 €;Bar e Ristoranti;ING - CC
01/04/2025;Aprile;bar;;2,40 €;Bar e Ristoranti;Satispay
02/04/2025;Aprile;metro;;6,60 €;Viaggi e Trasporti;ING - CC
02/04/2025;Aprile;pranzo;;14,50 €;Bar e Ristoranti;ING - CC
02/04/2025;Aprile;bar;;2,40 €;Bar e Ristoranti;Satispay
02/04/2025;Aprile;aws;;0,92 €;Casa e Utenze;Buddybank
03/04/2025;Aprile;macellaio;;12,30 €;Spesa;ING - CC
03/04/2025;Aprile;carta igienica e scottex;;7,18 €;Spesa;ING - CC
03/04/2025;Aprile;bar;;4,00 €;Bar e Ristoranti;Satispay
03/04/2025;Aprile;contorni;;3,80 €;Spesa;Satispay
03/04/2025;Aprile;fornaio;;4,00 €;Bar e Ristoranti;Satispay
03/04/2025;Aprile;commissioni;;0,02 €;Altro;Buddybank
